track_id,name,artist,genre,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,album_cover_url
7uMb8RUN7S0bXdWXpI2euL,A Fool for You,Ray Charles,blues,1957-01-01,0.627,0.245,10,-7.318,1,0.0339,0.825,0.0017100000000000001,0.0758,0.5529999999999999,132.16,3,182760,https://i.scdn.co/image/ab67616d0000b273f0e951707ca49b533fdbf64e
5JpzTcYa9V9HaIHKh1X3Qp,Telephone Song,The Vaughan Brothers,blues,2002-08-27,0.727,0.8859999999999999,8,-8.022,1,0.0652,0.0867,0.000567,0.3,0.856,117.963,4,208427,https://i.scdn.co/image/ab67616d0000b273f443c20c8fd9933818965efc
10W125nMbncRGcXRBoACOx,Come On In My Kitchen,Robert Johnson,blues,1937,0.556,0.0643,10,-15.305,0,0.175,0.927,2.37e-06,0.0991,0.28300000000000003,81.673,4,172307,https://i.scdn.co/image/ab67616d0000b27312549da864353c084cf0faa6
1YGQEFGvnMbA60JIp4KTFZ,Goin' Down Slow,Howlin' Wolf,blues,2009-10-06,0.5,0.529,9,-8.137,1,0.0416,0.0646,0.00292,0.0982,0.433,82.179,4,234667,https://i.scdn.co/image/ab67616d0000b2738515bf81c89962ecbdd6630c
2WA1bjJmejhimkPEAJZIAw,Chills & Thrills,Bernard Allison,blues,2008-02-05,0.723,0.657,2,-5.372000000000001,1,0.0429,0.0035700000000000007,0.0179,0.0563,0.8029999999999999,116.175,4,275733,https://i.scdn.co/image/ab67616d0000b273a005a2d7f1af687722f228f5
2waH47ZaqIWDk976W9Lqf8,Suffer,Petit Biscuit,indie,2018-10-10,0.562,0.606,0,-6.334,1,0.0999,0.0262,0.0125,0.166,0.292,97.023,4,209533,https://i.scdn.co/image/ab67616d0000b273057ad87ded312ce2c5005ddd
2LMkwUfqC6S6s6qDVlEuzV,White Ferrari,Frank Ocean,indie,2016-08-20,0.501,0.0958,0,-15.605,1,0.0433,0.77,0.0,0.298,0.204,108.741,4,248808,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526
5nHRIKsXDwUpse9gzrAxLR,Oxford Comma,Vampire Weekend,indie,2008-01-27,0.6920000000000001,0.7170000000000001,0,-4.226,1,0.0498,0.111,0.00123,0.044000000000000004,0.973,119.90700000000001,4,195733,https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866
2o6dL3brUkkiuFRdrLfdG7,I'm Good,Wafia,indie,2018-08-10,0.738,0.696,1,-3.59,1,0.0305,0.0236,9.09e-05,0.33799999999999997,0.892,101.98899999999999,4,217136,https://i.scdn.co/image/ab67616d0000b273c765b3f5aa660e3bc418f96c
03ZkvqZOANKndGXfAAPywG,Drown,Cuco,indie,2018-08-01,0.674,0.615,0,-8.187999999999999,1,0.147,0.455,0.00091,0.20800000000000002,0.7559999999999999,85.04799999999999,4,234056,https://i.scdn.co/image/ab67616d0000b273cb461f74ecc3cd02f81dfed3
0EH6BeGSEWtbETiOAYr3sN,Do I Have to Talk You Into It,Spoon,indie,2017-03-17,0.6920000000000001,0.9,0,-4.273,1,0.0972,0.11199999999999999,5.44e-05,0.17300000000000001,0.9309999999999999,79.038,4,260080,https://i.scdn.co/image/ab67616d0000b273fb7263efd4dcbbdd162781bd
0TQ8ZHFhrbH9I0WRjIzOCQ,Nothing Arrived - Live from Spotify London,Villagers,indie,2013-02-18,0.579,0.415,7,-11.599,1,0.0397,0.929,0.0018,0.6709999999999999,0.42,102.713,4,219093,https://i.scdn.co/image/ab67616d0000b273ff199cb5b59c81c2ce7cdf54
6smJCC2En1iEuN3b9ZQnLX,Slomo,Slowdive,indie,2017-05-05,0.19,0.7020000000000001,7,-7.223,1,0.034,0.0557,0.0228,0.13,0.358,107.8,4,413172,https://i.scdn.co/image/ab67616d0000b2737d08dfce0cb20cf7ed9da031
